word,score
 mild,1
 mint,0
 moisten,0
 monastic_order,0
 motivate,0
 mount,0
 mount_wilson,0.125
 move,0
 nail_down,0
 nasty,-0.75
 neat,-0.25
 neckcloth,0
 new,0
 nibble,0
 objet_d'art,0.125
 occlusion,0
 occupy,0
 offer,0
 omit,0
 on-key,0.5
 orchestra_pit,0
 orphic,-0.25
 outdoor_stage,0
 outpouring,0
 ovalbumin,0
 overconfident,0.5
 overhaul,0
 overhear,-0.125
 overstep,0
 pack,0
 part,0
 partake,0
 pas_seul,0
 pass,0
 patch,0
 patronize,0
 pay,0
 paying_back,0
 peck,0
 peeled,0.625
 peg,0
 percentage_point,0
 period,0
 perk_up,0
 photographic_plate,0
 piazza,0
 pic,0
 pillow,0
 pillowcase,0
 pip,0
 pitch,0
 place,0
 place_upright,0
 placement,0
 plant,0
 play,0
 plentiful,0.125
 plow,0
 pluck,0
 ply,0
 polish,0
 political_campaign,0
 poop,0
 portray,0
 position,-0.125
 present,0
 press,0
 press_stud,0
 prevail,0
 principle,0
 process,0
 promote,0.25
 protrude,0
 prove,0
 provoke,0
 pull_up,0
 pullulate,0
 pushover,0.125
 put,0
 put_to_work,0
 puzzle,-0.125
 quash,0
 quell,-0.375
 quill,0
 race,0
 racy,0
 rail,0
 ramify,0
 ravel,0
 readiness,0
 realize,0
 reappearance,0.125
 rebel,0
 reelect,0
 remove,0
 render,0
 rent,0
 repay,0
 require,0
 resign,0
 resist,-0.125
 resume,0
 resurrect,0
 retire,0.125
 retreat,0
 revolve,0
 rig,0
 rightful,0.25
 rip,0
 rise,0
 rival,0.25
 rivulet,0
 roam,-0.25
 rot,-0.125
 rotating_shaft,0
 round_top,0
 routine,0
 running,0
 sack,-0.125
 schism,0
 scrape,-0.25
 scratch,0
 scripture,0
 select,0
 self-coloured,0
 sentence,0
 serve,0
 set,0
 shape,0
 shimmy,0
 shoot,0
 sideslip,0
 skid,-0.25
 smirch,0
 solicit,0
 solve,0
 song,0
 sour,-0.25
 sprain,0
 spread_out,0
 square,-0.625
 stiff,0
 straight,0.5
 strand,0
 strickle,0
 strike,0
 stringent,-0.25
 study,0
 submit,0
 subscribe_to,0
 succumb,0.5
 suck_in,0
 suck_up,0
 suffer,-0.5
 sugared,0
 tactual_sensation,0
 take,0
 take_away,0
 take_in,0
 take_the_air,0
 tempestuous,-0.125
 thomas_woodrow_wilson,0
 tint,0
 trail,0
 tress,0
 turn,-0.25
 turn_off,0
 tweed,0
 uncivilized,0.25
 unification,0
 waste,0
'hood,-0.375
's_gravenhage,0
'tween,0
'tween_decks,0
0.22,0.125
.22-caliber,0
.22-calibre,0
.22_caliber,0
.22_calibre,0
.38-caliber,0
.38-calibre,0
.38_caliber,0
.38_calibre,0
.45-caliber,0
.45-calibre,0
.45_caliber,0
.45_calibre,0
0,-0.5
1,-0.25
1-dodecanol,0
1-hitter,0
10,0
10-membered,0
100,0
1000,0
10000,0
100000,0
1000000,0
1000000000,0
1.00E+12,0
1000th,0
100th,0
101,-0.25
101st,0
105,-0.25
105th,0
10th,0
11,0
11-plus,0
110,0
110th,0
115,0
115th,0
11_november,0
11th,0
12,0
12-tone_music,0
12-tone_system,0
120,0
120th,0
125,-0.125
125th,0
12th,0
13,0
130,0
130th,0
135,-0.125
135th,0
13th,0
14,0
140,0
140th,0
144,0
145,-0.125
145th,0
14_july,0
14th,0
15,0
150,0
150th,0
1530s,0
155,-0.125
155th,0
15_august_1945,0
15_may_organization,0
15_minutes,0
15th,0
16,0
160,0
160th,0
165,-0.125
165th,0
16_pf,0
16th,0
17,0
170,0
170th,0
1728,0
175,-0.125
1750s,0
175th,0
1760s,0
1770s,0
1780s,0
1790s,0
17_november,0
17th,0
18,0
18-karat_gold,0
180,0
180th,0
1820s,0
1830s,0
1840s,0
1850s,0
1860s,0
1870s,0
1880s,0
1890s,0
18th,0
19,0
190,0
1900s,0
190th,0
1920s,0
1930s,0
1940s,0
1950s,0
1960s,0
1970s,0
1980s,0
1990s,0
19th,0
1_chronicles,0
1_esdras,0
1_kings,0
1_maccabees,0
1_samuel,0
1st,0
1st-class_mail,0
1st_baron_beaverbrook,0
1st_baron_verulam,0
1st_class,0
1st_earl_attlee,0
1st_earl_baldwin_of_bewdley,0
1st_earl_of_balfour,0
1st_lieutenant,0
1st_viscount_montgomery_of_alamein,0
2,0
2-hitter,0
2-hydroxybenzoic_acid,0
2-methylpropenoic_acid,0
20,0
20/20,0
200,0
200th,0
20th,0
21,0
21st,0
22,0
22-karat_gold,0
22nd,0
23,0
23rd,0
24,0
24-hour_interval,0
24-karat_gold,0
24-Jul,0
24th,0
25,0
25th,0
26,0
26th,0
27,0
27th,0
28,0
28th,0
29,0
29th,0
2_chronicles,0
2_esdras,0.25
2_kings,0
2_maccabees,0
2_samuel,0
2d,0
2nd,0
2nd_lieutenant,0
3,0
3-d,0
3-dimensional,0
3-hitter,0
3-membered,0
30,0
300,-0.25
300th,0
30_minutes,0
30th,0
31,0
31st,0
32,0
32nd,0
33,0
33rd,0
34,0
34th,0
35,0
35th,0
36,0
365_days,-0.5
366_days,0.25
36th,0
37,0
37th,0
38,0
38th,0
39,0
39th,0
3d,0
3d_radar,0
3rd,0
3rd_october_organization,0
3tc,-0.25
4,0
4-dimensional,0
4-hitter,0
4-membered,0
40,0
400,-0.25
400th,0
401-k,0
401-k_plan,0
40th,0
41,0
41st,0
42,0
42nd,0
43,0
43rd,0
44,0
440_yards,0
44th,0
45,0
45th,0
46,0
46th,0
47,0
47th,0
48,0
48th,0
49,0
49th,0
4th,0
4to,0
4wd,0
5,0
5-hitter,0
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase,0.125
5-hydroxytryptamine,0
5-membered,0
50,0
500,0
500th,0
50th,0
51,0
52,0
53,0
54,0
55,0
55th,0
56,0
57,0
58,0
59,0
5th,0
6,0
6-membered,0
60,0
60_minutes,0
60th,0
61,0
62,0
63,0
64,0
64th,0
65,0
65th,0
66,0
67,0
68,0
69,0
6_june_1944,0
6th,0
7,0
7-membered,0
70,0
70th,0
71,0
72,0
73,0
74,0
75,0
75th,0
76,0
77,0
78,0
79,0
7th,0
8,0
8-membered,0
80,0
80th,0
81,0
82,0
83,0
84,0
85,0
85th,0
86,0
87,0
88,0
880_yards,0
89,0
8_may_1945,0
8th,0
8vo,0
9,0
09-Nov,0
9-membered,0
09-Nov,0
90,0
90th,0
91,0
92,0
93,0
94,0
95,0
95th,0
96,0
97,0
98,0
99,0
9th,0
a,-0.125
a'man,0
a-bomb,0
a-horizon,0
a-line,0
a-list,0
a-ok,0.125
a-okay,0.125
a-one,0.625
a-scan_ultrasonography,0
a-team,0
a._a._michelson,0
a._a._milne,0
a._conan_doyle,0
a._e._burnside,0
a._e._housman,0.125
a._e._kennelly,0
a._e._w._mason,0
a._noam_chomsky,0
a._testudineus,0
a.d.,0
a.e.,0
a.k.a.,0
a.m.,0
a_battery,0
a_bit,0
a_capella_singing,0
a_cappella,0
a_cappella_singing,0
a_couple_of,0
a_few,0
a_fortiori,0.25
a_good_deal,0.25
a_great_deal,0.375
a_horizon,0
a_hundred_times,0
a_kempis,0
a_la_carte,0
a_la_mode,0
a_level,0
a_little,0
a_lot,0.25
a_million_times,0
a_posteriori,0.125
a_priori,0.25
a_trifle,0
aa,0
aaa,0.125
aachen,0
aah,0
aaland_islands,0
aalborg,0
aalii,0
aalst,0
aalto,0
aar,0
aardvark,0
aardwolf,0
aare,0
aare_river,0
aarhus,0
aaron,0
aaron's_rod,-0.125
aaron_burr,0
aaron_copland,0
aaron_montgomery_ward,0
aarp,0
aas,0
aave,0
ab,0
ab_initio,0
aba,0
aba_transit_number,0
abaca,0
abacinate,0
aback,0
abactinal,0
abacus,0
abadan,0
abaft,0
abalone,0
abamp,0
abampere,0
abandon,-0.375
abandoned,0.5
abandoned_infant,0
abandoned_person,-0.375
abandoned_ship,0
abandonment,-0.5
abarticulation,0
abase,-0.625
abasement,0.25
abash,-0.25
abashed,-0.375
abashment,-0.375
abasia,-0.5
abasia_trepidans,-0.375
abasic,-0.25
abatable,0.625
abatable_nuisance,-0.125
abate,-0.25
abatement,-0.125
abatement_of_a_nuisance,0
abatic,-0.25
abatis,0
abator,0
abattis,0
abattoir,0
abaxial,0
abaxially,0.25
abaya,0
abb,0
abbacy,0
abbatial,0
abbe,0.125
abbe_condenser,0
abbess,0
abbey,0
abbot,0.5
abbott_lawrence_lowell,0
abbreviate,0
abbreviated,0
abbreviation,0
abbreviator,0
abc,0
abc's,0
abcoulomb,0
abcs,0
abdias,-0.25
abdicable,0.375
abdicate,0
abdication,0
abdicator,0
abdomen,0
abdominal,0
abdominal_actinomycosis,-0.125
abdominal_aorta,0
abdominal_aortic_aneurysm,0.125
abdominal_breathing,-0.25
abdominal_cavity,0
abdominal_delivery,0
abdominal_external_oblique_muscle,0
abdominal_muscle,0
abdominal_nerve_plexus,0
abdominal_pregnancy,0
abdominal_wall,0
abdominocentesis,0
abdominoplasty,0
abdominous,0
abdominousness,0
abdominovesical,0
abduce,0
abducens,0
abducens_muscle,0
abducens_nerve,0
abducent,0
abducent_nerve,0
abduct,-0.125
abducting,0
abduction,-1
abductor,0
abductor_muscle,0
abeam,0
abecedarian,0
abecedarius,0
abed,0
abel,0
abel_janszoon_tasman,0
abel_tasman,0
abelard,0
abele,0
abelia,0
abelian_group,0
abelmoschus,0
abelmoschus_esculentus,0
abelmoschus_moschatus,0
abelmosk,0
abenaki,0
aberdare,0
aberdeen,0
aberdeen_angus,0
aberdonian,0
aberrance,0.125
aberrancy,0.125
aberrant,0.375
aberrate,-0.25
aberration,0.375
abet,0
abetalipoproteinemia,-0.75
abetment,0
abettal,0
abetter,0
abettor,0
abeyance,0
abeyant,-0.125
abfarad,0
abhenry,0
abhor,-0.25
abhorrence,-0.375
abhorrent,-0.75
abhorrer,0
abidance,0.625
abide,-0.5
abide_by,0.375
abiding,0.375
abidjan,0
abience,0
abient,0.25
abies,0
abies_alba,0
abies_amabilis,0
abies_balsamea,0
abies_bracteata,0
abies_concolor,0
abies_fraseri,0
abies_grandis,0
abies_lasiocarpa,0
abies_lowiana,0
abies_venusta,0
abila,0
abilene,0
ability,0.5
abiogenesis,0
abiogenetic,0
abiogenist,0
abiotrophy,-0.25
abject,-1
abjection,-0.125
abjectly,0.375
abjuration,-0.625
abjure,-0.625
abjurer,0
abkhas,0
abkhasian,0
abkhaz,0
abkhazia,0
abkhazian,0
ablactate,0
ablactation,0
ablate,-0.125
ablated,-0.125
ablation,0
ablative,0.625
ablative_absolute,0
ablative_case,0
ablaut,0.5
ablaze,0.125
able,0.25
able-bodied,0.25
able-bodied_seaman,0
able-bodiedism,0.125
able-bodism,0.125
able_seaman,0
ableism,0.125
ablepharia,0.5
ablism,0.125
abloom,0.125
abls,0
ablution,0
ablutionary,0
ably,0.375
abm,0
abnaki,0
abnegate,0.25
abnegation,0.125
abnegator,0
abney_level,0
abnormal,-0.75
abnormal_psychology,0.125
abnormalcy,0.25
abnormality,-0.625
abnormally,0.125
abo,0
abo_antibodies,0
abo_blood_group_system,0
abo_group,0
abo_system,0
aboard,0
abocclusion,0.125
abode,0
abohm,0
abolish,0
abolishable,0.625
abolishment,0
abolition,0
abolitionary,0
abolitionism,0
abolitionist,0
abomasal,0
abomasum,0
abominable,-0.875
abominable_snowman,0
abominably,-0.75
abominate,-0.25
abomination,-0.375
abominator,-0.375
abor,0
aborad,0
aboral,0
aboriginal,0
aboriginal_australian,0
aborigine,0
abort,-0.625
aborticide,0
abortifacient,-0.375
abortion,0
abortion-inducing_drug,0
abortion_pill,0
abortionist,0
abortive,-0.25
abortively,0.25
abortus,0
aboulia,0
aboulic,-0.75
abound,-0.125
abound_in,-0.125
abounding,-0.25
about,0.25
about-face,0
about_turn,0
above,-0.125
above-mentioned,-0.125
above-named,-0.125
above_all,0
aboveboard,-0.375
aboveground,0
abracadabra,0
abrachia,0
abradant,0
abrade,-0.125
abrader,0
abrading_stone,0
abraham,0
abraham's_bosom,0
abraham_lincoln,0
abraham_stoker,0
abramis,0
abramis_brama,0
abranchial,0
abranchiate,0
abranchious,0
abrase,0
abrasion,-0.125
abrasive,-0.375
abrasive_material,0
abrasiveness,-0.112
abreact,-0.875
abreaction,0.375
abreast,0.25
abridge,0
abridged,0
abridgement,0
abridger,0
abridgment,0
abroach,0
abroad,0
abrocoma,0
abrocome,0
abrogate,0
abrogation,0
abrogator,0
abronia,0
abronia_elliptica,0
abronia_fragrans,0
abronia_latifolia,0
abronia_maritima,0
abronia_umbellata,0
abronia_villosa,0
abrupt,0.25
abruptio_placentae,0
abruption,0
abruptly,0
abruptly-pinnate,0.25
abruptly-pinnate_leaf,0.25
abruptness,0.25
abruzzi,0
abruzzi_e_molise,0
abs,0
abscess,0
abscessed,-0.5
abscessed_tooth,0
abscise,0
abscissa,0
abscission,0
abscond,0
absconder,0.375
abscondment,0
abseil,0
abseiler,0
absence,0
absence_seizure,0
absence_without_leave,-0.25
absent,-0.625
absentee,-0.625
absentee_ballot,0
absentee_rate,-0.5
absenteeism,0.125
absently,0.5
absentminded,0.25
absentmindedly,0.5
absentmindedness,0.25
absinth,0
absinthe,0
absinthe_oil,0
absolute,-0.75
absolute_alcohol,-0.25
absolute_ceiling,0
absolute_frequency,0
absolute_magnitude,0
absolute_majority,0
absolute_pitch,0
absolute_scale,0
absolute_space,0
absolute_temperature,0
absolute_threshold,0
absolute_value,0
absolute_viscosity,0
absolute_zero,0
absolutely,0.5
absoluteness,0.375
absolution,0
absolutism,-0.5
absolutist,0
absolutistic,0
absolve,0.125
absolver,0.25
absolvitory,0.25
absorb,0.375
absorbable,0.5
absorbance,0
absorbate,0.5
absorbed,0.125
absorbefacient,0.375
absorbency,0
absorbent,0
absorbent_cotton,0
absorbent_material,0
absorber,0
absorbing,0.5
absorptance,0
absorption,-0.375
absorption_band,0
absorption_coefficient,0
absorption_factor,0
absorption_indicator,0
absorption_spectrum,0
absorption_unit,0
absorptive,0
absorptivity,0
absquatulate,0
abstain,-0.375
abstainer,0
abstemious,0
abstemiously,0.25
abstemiousness,-0.375
abstention,0.125
abstentious,-0.625
abstinence,0.125
abstinent,-0.625
abstract,-0.125
abstract_art,0
abstract_artist,0
abstract_entity,0
abstract_expressionism,0.125
abstract_thought,0.125
abstracted,0.25
abstractedly,0.5
abstractedness,0
abstracter,0
abstraction,0
abstractionism,-0.375
abstractionist,0
abstractive,0.375
abstractly,0
abstractness,0
abstractor,0
abstrusely,-0.25
abstruseness,0.375
abstrusity,0.375
absurd,0.625
absurdity,0.125
absurdly,0
absurdness,0
abu_ali_al-husain_ibn_abdallah_ibn_sina,0
abu_dhabi,0
abu_hafs_al-masri_brigades,0
abu_nidal_organization,0
abu_sayyaf,0
abudefduf,0
abudefduf_saxatilis,0
abuja,0
abukir,0
abukir_bay,0
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,0
abulia,0
abulic,-0.75
abundance,0
abundant,-0.25
abundantly,0
abuse,-0.75
abused,-0.625
abuser,-0.25
abusive,-0.875
abusively,0.125
abut,0
abutilon,0
abutilon_theophrasti,0
abutment,0
abutment_arch,0
abutter,0
abuzz,0
abvolt,0
abwatt,0
aby,-0.125
aby_moritz_warburg,0
aby_warburg,0
abydos,0
abye,-0.125
abyla,0
abysm,0
abysmal,0
abysmally,-0.75
abyss,0
abyssal,0
abyssal_zone,0
abyssinia,0
abyssinian,0
abyssinian_banana,0
abyssinian_cat,0
ac,0
acacia,0
acacia_auriculiformis,0
acacia_cambegei,-0.625
acacia_catechu,0
acacia_dealbata,0
acacia_farnesiana,0
acacia_melanoxylon,0.25
acacia_pycnantha,0
acacia_xanthophloea,0
academe,0
academia,0
academic,-0.625
academic_administrator,0
academic_costume,0
academic_degree,0
academic_department,0
academic_freedom,-0.375
academic_gown,-0.125
academic_program,0
academic_relation,0.125
academic_requirement,0
academic_robe,-0.125
academic_session,0
academic_term,0
academic_year,0
academically,0.125
academician,0.125
academicianship,0
academicism,-0.125
academism,-0.125
academy,0.125
academy_award,0
academy_of_motion_picture_arts_and_sciences,0
academy_of_television_arts_and_sciences,0
acadia,0
acadia_national_park,0.25
acadian,0
acalypha,0
acalypha_virginica,0
acantha,0
acanthaceae,0
acanthion,0
acanthisitta,0
acanthisitta_chloris,0
acanthisittidae,0
acanthocephala,0
acanthocephalan,-0.25
acanthocereus,0
acanthocereus_pentagonus,0
acanthocereus_tetragonus,0
acanthocybium,0
acanthocybium_solandri,0
acanthocyte,-0.125
acanthocytosis,-0.125
acanthoid,0.125
acantholysis,0
acanthoma,0
acanthophis,0
acanthophis_antarcticus,-0.375
acanthopterygian,0
acanthopterygii,0.125
acanthoscelides,0
acanthoscelides_obtectus,0
acanthosis,0
acanthosis_nigricans,-0.125
acanthotic,0
acanthous,0.125
acanthuridae,0
acanthurus,0
acanthurus_chirurgus,0
acanthus,0
acanthus_family,0
acanthus_mollis,0
acapnia,0
acapnial,0
acapnic,0
acapnotic,0
acapulco,0
acapulco_de_juarez,0
acapulco_gold,0
acaracide,0
acardia,-0.5
acariasis,0
acaricide,0
acarid,0
acaridae,0
acaridiasis,0
acarina,0
acarine,0
acariosis,0
acaroid_resin,0
acarophobia,-0.125
acarpellous,0
acarpelous,0
acarpous,-0.375
acarus,0
acaryote,-0.375
acatalectic,-0.5
acataphasia,-0.5
acathexia,-0.375
acathexis,-0.375
acaudal,-0.25
acaudate,-0.25
acaulescent,0.25
acc,0
accaroid_resin,0
accede,0
accelerando,0
accelerate,0
accelerated,0
acceleration,0
acceleration_unit,0
accelerative,-0.125
accelerator,0
accelerator_factor,-0.25
accelerator_pedal,0
acceleratory,-0.125
accelerometer,0
accent,0.75
accent_mark,0
accented,0
accenting,0.125
accentor,0
accentual,0
accentual_system,0
accentuate,0
accentuation,0.125
accept,0.625
acceptability,0.25
acceptable,0.625
acceptableness,0.25
acceptably,0.5
acceptance,0.25
acceptance_sampling,0
acceptant,0.25
acceptation,0.375
accepted,0.5
accepting,0.25
acceptive,0.25
acceptor,0
acceptor_rna,-0.375
access,0
access_code,0
access_road,0
access_time,0
accessary,0.375
accessibility,0.375
accessible,0.625
accession,0
accessional,0.125
accessorial,0.375
accessory,0.375
accessory_after_the_fact,0
accessory_before_the_fact,0
accessory_cephalic_vein,0
accessory_during_the_fact,-0.125
accessory_fruit,0
accessory_hemiazygos_vein,0
accessory_hemiazygous_vein,0
accessory_nerve,0
accessory_vertebral_vein,0
accho,0
acciaccatura,0
accidence,0
accident,-0.75
accident-prone,-0.125
accident_surgery,0
accidental,-0.125
accidental_injury,-0.75
accidentally,0.125
accipiter,0
accipiter_cooperii,0
accipiter_gentilis,0
accipiter_nisus,0
accipitridae,0
accipitriformes,0
accipitrine,0
acclaim,0.625
acclamation,0.625
acclimate,-0.375
acclimation,0
acclimatisation,0
acclimatise,-0.375
acclimatization,0
acclimatize,-0.375
acclivitous,0
acclivity,0
accolade,0.5
accommodate,0.75
accommodating,0.5
accommodating_iol,0
accommodating_lens_implant,0
accommodatingly,0
accommodation,0.5
accommodation_endorser,-0.5
accommodation_ladder,0
accommodation_reflex,0
accommodational,0
accommodative,0.5
accommodator,0
accompanied,0
accompaniment,0
accompanist,0
accompany,0
accompanying,0
accompanying_vein,0
accompanyist,0
accomplice,0
accomplish,0
accomplishable,0.25
accomplished,0.75
accomplished_fact,0.125
accomplishment,0.25
accord,-0.375
accord_and_satisfaction,0
accordance,-0.375
accordance_of_rights,0.125
accordant,0.5
according,0.125
accordingly,0.25
accordion,0
accordion_door,0
accordionist,0
accost,0
accouchement,0
accoucheur,0
accoucheuse,0
account,0.75
account_book,0
account_executive,0
account_for,0
account_payable,0.125
account_representative,0
account_statement,0
accountability,0
accountable,0
accountancy,0
accountant,0
accountantship,0
accounting,0
accounting_data,0
accounting_entry,0
accounting_firm,0
accounting_principle,0
accounting_standard,0
accounting_system,0
accounts_payable,0
accounts_receivable,0
accouter,0
accoutered,0
accouterment,-0.375
accoutre,0
accoutred,0
accoutrement,-0.375
accra,0
accredit,0
accreditation,0
accredited,0
accrete,0
accretion,0.125
accretionary,-0.375
accretive,-0.25
accroides,0
accroides_gum,0
accroides_resin,0
accrual,0
accrual_basis,0
accrue,0
accrued,0
accruement,0
acculturate,0
acculturation,0.375
acculturational,0
acculturative,0
accumbent,-0.125
accumulate,0
accumulated,0
accumulation,-0.75
accumulative,0.375
accumulator,0
accumulator_register,0
accuracy,0.5
accurate,0.5
accurately,0.25
accurse,-0.125
accursed,-0.25
accurst,-0.25
accusal,0
accusation,0
accusative,-0.5
